GEO_ID,NAME,Total,Total_forprofit,Total_nonprofit,Total_localGov,Total_stateGov,Total_fedGov,Total_selfEmpNotincorp,Total_UnpaidFamily,Total_DroveAlone,Total_Carpooled,Total_PublicTransport,Total_Walked,Total_CabBikeOther,Total_WorkFromHome,Total_AllGov,perc_AllGov,perc_UnpaidFAm,perc_ForProfit,perc_NonProfit,perc_WFH,perc_Walk,perc_PubTrans,perc_DroveAlone,perc_Carpool
0400000US01,Alabama,2228430,1559229,160072,160084,123220,100113,121313,4399,1779940,186714,6356,29526,26826,199068,383417,17.205700874606787,0.19740355317420785,69.96984424011524,7.183173803978586,8.93310537014849,1.3249686999367267,0.2852232289100398,79.87417150190942,8.378724034409876
0400000US02,Alaska,365140,199931,40584,32833,26326,44706,19966,794,236959,42033,3095,26546,24060,32447,103865,28.44525387522594,0.21745084077340196,54.75461466834639,11.114640959631922,8.886180643041024,7.270088185353563,0.8476200909240292,64.89538259297804,11.5114750506655
0400000US04,Arizona,3439906,2475344,247176,231666,156145,115406,208107,6062,2306917,354818,41327,56294,75137,605413,503217,14.628800903280498,0.17622574570351632,71.95964075762535,7.185545186409163,17.599696038205696,1.636498206637042,1.2013991079988815,67.06337324333863,10.31475860096177
0400000US05,Arkansas,1359873,954484,113404,89766,79111,33682,85578,3848,1064395,134945,3998,21140,17074,118321,202559,14.895435088423698,0.2829676006509432,70.18920149160988,8.339308155982213,8.700886038622723,1.5545569328900566,0.29399804246425953,78.27164742589933,9.923353136653203
0400000US06,California,18691379,12987682,1432084,1559308,811803,525660,1338124,36718,12541074,1901105,572242,472828,468471,2735659,2896771,15.497898790667078,0.19644350478367595,69.48487856353455,7.661735391487166,14.635939916471653,2.5296581916187133,3.061529061071417,67.09549894633243,10.17102590450924
0400000US08,Colorado,3141112,2188885,268135,237657,127324,133473,178512,7126,2075342,247378,51214,76219,65442,625517,498454,15.868711462692191,0.22686233410333664,69.68503510858575,8.536308160931542,19.91387126597205,2.4264973678111446,1.6304417034476961,66.07029612442982,7.875491227310583
0400000US09,Connecticut,1784292,1236236,194642,131530,73139,38479,107962,2304,1263509,146573,40039,40665,29780,263726,243148,13.62714174585774,0.12912684695105958,69.28439963862417,10.908640513996588,14.780428315544766,2.2790552219031412,2.243971278243696,70.81290506262428,8.214630789130926
0400000US10,Delaware,496317,351174,47739,23892,38373,14406,19580,1153,361131,40124,10192,9344,7320,68206,76671,15.447989893555933,0.23231120433110292,70.75598861211685,9.618650983141823,13.742426715184045,1.8826677305028843,2.0535262745382488,72.76216611560756,8.084349317069533
0400000US11,District of Columbia,739750,329392,137028,35512,20716,189435,27038,629,323650,51944,186564,43324,29642,104626,245663,33.2089219330855,0.08502872592091923,44.52747549847922,18.523555255153767,14.143426833389658,5.8565731666103416,25.219871578235892,43.751267320040554,7.021831699898614
0400000US12,Florida,10545502,7886374,727843,681218,285486,291611,653773,19197,7290525,1025173,142454,158014,254344,1674992,1258315,11.93224371869637,0.18203969806273804,74.78424450538247,6.901928424080713,15.883473351956123,1.4984018778812047,1.3508508177230445,69.13397769020384,9.72142435703867
0400000US13,Georgia,5296040,3829057,355871,383016,202302,218492,296239,11063,3753549,498368,58691,72109,108955,804368,803810,15.17756663469309,0.20889192679813595,72.30037915121487,6.719567828037552,15.188102808891172,1.3615644896941865,1.1082053760923256,70.87463463266894,9.410200829298871
0400000US15,Hawaii,696204,405878,66836,34429,55860,85994,45304,1903,446696,110812,28728,26707,22745,60516,176283,25.320595687470913,0.2733394235023068,58.298717042705874,9.600059752601249,8.692279849009774,3.836088272977461,4.12637675164176,64.16165376814843,15.916599157718139
