GEO_ID,State,Year_Date,Year,Total,MOE_Total,MOE_Total_display,Total_forprofit,Total_nonprofit,Total_localGov,Total_stateGov,Total_fedGov,Total_selfEmpNotincorp,Total_UnpaidFamily,Total_DroveAlone,Total_Carpooled,Total_PublicTransport,Total_Walked,Total_CabBikeOther,Total_WorkFromHome,MOE_Total_WorkFromHome,MOE_Total_WorkFromHome_display,ForProfit_WFH,NonProfit_WFH,LocalGov_WFH,StateGov_WFH,FedGov_WFH,SelfEmpNotInc_WFH,UnpaidFamily_WFH,Total_AllGov,perc_AllGov,perc_UnpaidFAm,perc_ForProfit,perc_NonProfit,perc_WFH,perc_Walk,perc_PubTrans,perc_DroveAlone,perc_Carpool,perc_WFH_AllGov,perc_WFH_ForProfit,perc_WFH_NonProfit,perc_WFH_SelfEmpNotInc,perc_WFH_UnpaidFamily,perc_MOE_WFH,perc_MOE_WFH_display,Perc_WFH_MOE_display_complete,MOE_Total_WorkFromHome_display_complete,GEOIDFQ
0400000US01,Alabama,2023-01-01,2023,2228430,16633,±16633,1559229,160072,160084,123220,100113,121313,4399,1779940,186714,6356,29526,26826,199068,7600,±7600,138532,10938,4475,7461,13414,23337,911,383417,17.21,0.2,69.97,7.18,8.93,1.32,0.29,79.87,8.38,6.61,8.88,6.83,19.24,20.71,0.3344659457943414,±0.334465945794341,8.9%  ±0.3 pp,"199,068  ±7,600",0400000US01
0400000US04,Arizona,2023-01-01,2023,3439906,22871,±22871,2475344,247176,231666,156145,115406,208107,6062,2306917,354818,41327,56294,75137,605413,14803,±14803,460328,36740,14056,25511,12814,54333,1631,503217,14.63,0.18,71.96,7.19,17.6,1.64,1.2,67.06,10.31,10.41,18.6,14.86,26.11,26.91,0.41411661784583575,±0.414116617845836,17.6%  ±0.4 pp,"605,413  ±14,803",0400000US04
0400000US05,Arkansas,2023-01-01,2023,1359873,14331,±14331,954484,113404,89766,79111,33682,85578,3848,1064395,134945,3998,21140,17074,118321,6047,±6047,80770,8766,1963,4792,2480,18771,779,202559,14.9,0.28,70.19,8.34,8.7,1.55,0.29,78.27,9.92,4.56,8.46,7.73,21.93,20.24,0.4351172720589217,±0.435117272058922,8.7%  ±0.4 pp,"118,321  ±6,047",0400000US05
0400000US06,California,2023-01-01,2023,18691379,51889,±51889,12987682,1432084,1559308,811803,525660,1338124,36718,12541074,1901105,572242,472828,468471,2735659,35534,±35534,1850485,205586,124510,161020,51094,335565,7399,2896771,15.5,0.2,69.48,7.66,14.64,2.53,3.06,67.1,10.17,11.62,14.25,14.36,25.08,20.15,0.18571642051424814,±0.185716420514248,14.6%  ±0.2 pp,"2,735,659  ±35,534",0400000US06
0400000US08,Colorado,2023-01-01,2023,3141112,14523,±14523,2188885,268135,237657,127324,133473,178512,7126,2075342,247378,51214,76219,65442,625517,13088,±13088,464383,45918,15778,23090,18392,55902,2054,498454,15.87,0.23,69.69,8.54,19.91,2.43,1.63,66.07,7.88,11.49,21.22,17.12,31.32,28.82,0.40636769298872577,±0.406367692988726,19.9%  ±0.4 pp,"625,517  ±13,088",0400000US08
0400000US09,Connecticut,2023-01-01,2023,1784292,13155,±13155,1236236,194642,131530,73139,38479,107962,2304,1263509,146573,40039,40665,29780,263726,8778,±8778,196684,24552,3760,5601,4032,28639,458,243148,13.63,0.13,69.28,10.91,14.78,2.28,2.24,70.81,8.21,5.51,15.91,12.61,26.53,19.88,0.4797392484270583,±0.479739248427058,14.8%  ±0.5 pp,"263,726  ±8,778",0400000US09
0400000US10,Delaware,2023-01-01,2023,496317,10366,±10366,351174,47739,23892,38373,14406,19580,1153,361131,40124,10192,9344,7320,68206,5349,±5349,49993,7206,1166,1853,2134,5730,124,76671,15.45,0.23,70.76,9.62,13.74,1.88,2.05,72.76,8.08,6.72,14.24,15.09,29.26,10.75,1.038816055787433,±1.03881605578743,13.7%  ±1 pp,"68,206  ±5,349",0400000US10
0400000US11,District of Columbia,2023-01-01,2023,739750,14391,±14391,329392,137028,35512,20716,189435,27038,629,323650,51944,186564,43324,29642,104626,6425,±6425,52969,24400,1227,1380,17837,6813,0,245663,33.21,0.09,44.53,18.52,14.14,5.86,25.22,43.75,7.02,8.32,16.08,17.81,25.2,0,0.8238030790897362,±0.823803079089736,14.1%  ±0.8 pp,"104,626  ±6,425",0400000US11
0400000US12,Florida,2023-01-01,2023,10545502,44743,±44743,7886374,727843,681218,285486,291611,653773,19197,7290525,1025173,142454,158014,254344,1674992,26565,±26565,1288003,103081,32936,30304,37192,178881,4595,1258315,11.93,0.18,74.78,6.9,15.88,1.5,1.35,69.13,9.72,7.98,16.33,14.16,27.36,23.94,0.24272667717415186,±0.242726677174152,15.9%  ±0.2 pp,"1,674,992  ±26,565",0400000US12
0400000US13,Georgia,2023-01-01,2023,5296040,27075,±27075,3829057,355871,383016,202302,218492,296239,11063,3753549,498368,58691,72109,108955,804368,16159,±16159,613661,47037,17330,23713,34290,66275,2062,803810,15.18,0.21,72.3,6.72,15.19,1.36,1.11,70.87,9.41,9.37,16.03,13.22,22.37,18.64,0.29506960654812225,±0.295069606548122,15.2%  ±0.3 pp,"804,368  ±16,159",0400000US13
