"GEO_ID","NAME","B08528_001E","B08528_001M","B08528_002E","B08528_002M","B08528_003E","B08528_003M","B08528_004E","B08528_004M","B08528_005E","B08528_005M","B08528_006E","B08528_006M","B08528_007E","B08528_007M","B08528_008E","B08528_008M","B08528_009E","B08528_009M","B08528_010E","B08528_010M","B08528_011E","B08528_011M","B08528_012E","B08528_012M","B08528_013E","B08528_013M","B08528_014E","B08528_014M","B08528_015E","B08528_015M","B08528_016E","B08528_016M","B08528_017E","B08528_017M","B08528_018E","B08528_018M","B08528_019E","B08528_019M","B08528_020E","B08528_020M","B08528_021E","B08528_021M","B08528_022E","B08528_022M","B08528_023E","B08528_023M","B08528_024E","B08528_024M","B08528_025E","B08528_025M","B08528_026E","B08528_026M","B08528_027E","B08528_027M","B08528_028E","B08528_028M","B08528_029E","B08528_029M","B08528_030E","B08528_030M","B08528_031E","B08528_031M","B08528_032E","B08528_032M","B08528_033E","B08528_033M","B08528_034E","B08528_034M","B08528_035E","B08528_035M","B08528_036E","B08528_036M","B08528_037E","B08528_037M","B08528_038E","B08528_038M","B08528_039E","B08528_039M","B08528_040E","B08528_040M","B08528_041E","B08528_041M","B08528_042E","B08528_042M","B08528_043E","B08528_043M","B08528_044E","B08528_044M","B08528_045E","B08528_045M","B08528_046E","B08528_046M","B08528_047E","B08528_047M","B08528_048E","B08528_048M","B08528_049E","B08528_049M","B08528_050E","B08528_050M","B08528_051E","B08528_051M","B08528_052E","B08528_052M","B08528_053E","B08528_053M","B08528_054E","B08528_054M","B08528_055E","B08528_055M","B08528_056E","B08528_056M","B08528_057E","B08528_057M","B08528_058E","B08528_058M","B08528_059E","B08528_059M","B08528_060E","B08528_060M","B08528_061E","B08528_061M","B08528_062E","B08528_062M","B08528_063E","B08528_063M","B08528_064E","B08528_064M","B08528_065E","B08528_065M","B08528_066E","B08528_066M","B08528_067E","B08528_067M","B08528_068E","B08528_068M","B08528_069E","B08528_069M","B08528_070E","B08528_070M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Private for-profit wage and salary workers:","Margin of Error!!Total:!!Private for-profit wage and salary workers:","Estimate!!Total:!!Private for-profit wage and salary workers:!!Employee of private company workers","Margin of Error!!Total:!!Private for-profit wage and salary workers:!!Employee of private company workers","Estimate!!Total:!!Private for-profit wage and salary workers:!!Self-employed in own incorporated business workers","Margin of Error!!Total:!!Private for-profit wage and salary workers:!!Self-employed in own incorporated business workers","Estimate!!Total:!!Private not-for-profit wage and salary workers","Margin of Error!!Total:!!Private not-for-profit wage and salary workers","Estimate!!Total:!!Local government workers","Margin of Error!!Total:!!Local government workers","Estimate!!Total:!!State government workers","Margin of Error!!Total:!!State government workers","Estimate!!Total:!!Federal government workers","Margin of Error!!Total:!!Federal government workers","Estimate!!Total:!!Self-employed in own not incorporated business workers","Margin of Error!!Total:!!Self-employed in own not incorporated business workers","Estimate!!Total:!!Unpaid family workers","Margin of Error!!Total:!!Unpaid family workers","Estimate!!Total:!!Car, truck, or van - drove alone:","Margin of Error!!Total:!!Car, truck, or van - drove alone:","Estimate!!Total:!!Car, truck, or van - drove alone:!!Private for-profit wage and salary workers:","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!Private for-profit wage and salary workers:","Estimate!!Total:!!Car, truck, or van - drove alone:!!Private for-profit wage and salary workers:!!Employee of private company workers","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!Private for-profit wage and salary workers:!!Employee of private company workers","Estimate!!Total:!!Car, truck, or van - drove alone:!!Private for-profit wage and salary workers:!!Self-employed in own incorporated business workers","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!Private for-profit wage and salary workers:!!Self-employed in own incorporated business workers","Estimate!!Total:!!Car, truck, or van - drove alone:!!Private not-for-profit wage and salary workers","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!Private not-for-profit wage and salary workers","Estimate!!Total:!!Car, truck, or van - drove alone:!!Local government workers","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!Local government workers","Estimate!!Total:!!Car, truck, or van - drove alone:!!State government workers","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!State government workers","Estimate!!Total:!!Car, truck, or van - drove alone:!!Federal government workers","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!Federal government workers","Estimate!!Total:!!Car, truck, or van - drove alone:!!Self-employed in own not incorporated business workers","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!Self-employed in own not incorporated business workers","Estimate!!Total:!!Car, truck, or van - drove alone:!!Unpaid family workers","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!Unpaid family workers","Estimate!!Total:!!Car, truck, or van - carpooled:","Margin of Error!!Total:!!Car, truck, or van - carpooled:","Estimate!!Total:!!Car, truck, or van - carpooled:!!Private for-profit wage and salary workers:","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!Private for-profit wage and salary workers:","Estimate!!Total:!!Car, truck, or van - carpooled:!!Private for-profit wage and salary workers:!!Employee of private company workers","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!Private for-profit wage and salary workers:!!Employee of private company workers","Estimate!!Total:!!Car, truck, or van - carpooled:!!Private for-profit wage and salary workers:!!Self-employed in own incorporated business workers","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!Private for-profit wage and salary workers:!!Self-employed in own incorporated business workers","Estimate!!Total:!!Car, truck, or van - carpooled:!!Private not-for-profit wage and salary workers","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!Private not-for-profit wage and salary workers","Estimate!!Total:!!Car, truck, or van - carpooled:!!Local government workers","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!Local government workers","Estimate!!Total:!!Car, truck, or van - carpooled:!!State government workers","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!State government workers","Estimate!!Total:!!Car, truck, or van - carpooled:!!Federal government workers","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!Federal government workers","Estimate!!Total:!!Car, truck, or van - carpooled:!!Self-employed in own not incorporated business workers","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!Self-employed in own not incorporated business workers","Estimate!!Total:!!Car, truck, or van - carpooled:!!Unpaid family workers","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!Unpaid family workers","Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!Private for-profit wage and salary workers:","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Private for-profit wage and salary workers:","Estimate!!Total:!!Public transportation (excluding taxicab):!!Private for-profit wage and salary workers:!!Employee of private company workers","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Private for-profit wage and salary workers:!!Employee of private company workers","Estimate!!Total:!!Public transportation (excluding taxicab):!!Private for-profit wage and salary workers:!!Self-employed in own incorporated business workers","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Private for-profit wage and salary workers:!!Self-employed in own incorporated business workers","Estimate!!Total:!!Public transportation (excluding taxicab):!!Private not-for-profit wage and salary workers","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Private not-for-profit wage and salary workers","Estimate!!Total:!!Public transportation (excluding taxicab):!!Local government workers","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Local government workers","Estimate!!Total:!!Public transportation (excluding taxicab):!!State government workers","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!State government workers","Estimate!!Total:!!Public transportation (excluding taxicab):!!Federal government workers","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Federal government workers","Estimate!!Total:!!Public transportation (excluding taxicab):!!Self-employed in own not incorporated business workers","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Self-employed in own not incorporated business workers","Estimate!!Total:!!Public transportation (excluding taxicab):!!Unpaid family workers","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Unpaid family workers","Estimate!!Total:!!Walked:","Margin of Error!!Total:!!Walked:","Estimate!!Total:!!Walked:!!Private for-profit wage and salary workers:","Margin of Error!!Total:!!Walked:!!Private for-profit wage and salary workers:","Estimate!!Total:!!Walked:!!Private for-profit wage and salary workers:!!Employee of private company workers","Margin of Error!!Total:!!Walked:!!Private for-profit wage and salary workers:!!Employee of private company workers","Estimate!!Total:!!Walked:!!Private for-profit wage and salary workers:!!Self-employed in own incorporated business workers","Margin of Error!!Total:!!Walked:!!Private for-profit wage and salary workers:!!Self-employed in own incorporated business workers","Estimate!!Total:!!Walked:!!Private not-for-profit wage and salary workers","Margin of Error!!Total:!!Walked:!!Private not-for-profit wage and salary workers","Estimate!!Total:!!Walked:!!Local government workers","Margin of Error!!Total:!!Walked:!!Local government workers","Estimate!!Total:!!Walked:!!State government workers","Margin of Error!!Total:!!Walked:!!State government workers","Estimate!!Total:!!Walked:!!Federal government workers","Margin of Error!!Total:!!Walked:!!Federal government workers","Estimate!!Total:!!Walked:!!Self-employed in own not incorporated business workers","Margin of Error!!Total:!!Walked:!!Self-employed in own not incorporated business workers","Estimate!!Total:!!Walked:!!Unpaid family workers","Margin of Error!!Total:!!Walked:!!Unpaid family workers","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Private for-profit wage and salary workers:","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Private for-profit wage and salary workers:","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Private for-profit wage and salary workers:!!Employee of private company workers","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Private for-profit wage and salary workers:!!Employee of private company workers","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Private for-profit wage and salary workers:!!Self-employed in own incorporated business workers","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Private for-profit wage and salary workers:!!Self-employed in own incorporated business workers","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Private not-for-profit wage and salary workers","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Private not-for-profit wage and salary workers","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Local government workers","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Local government workers","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!State government workers","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!State government workers","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Federal government workers","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Federal government workers","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Self-employed in own not incorporated business workers","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Self-employed in own not incorporated business workers","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Unpaid family workers","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Unpaid family workers","Estimate!!Total:!!Worked from home:","Margin of Error!!Total:!!Worked from home:","Estimate!!Total:!!Worked from home:!!Private for-profit wage and salary workers:","Margin of Error!!Total:!!Worked from home:!!Private for-profit wage and salary workers:","Estimate!!Total:!!Worked from home:!!Private for-profit wage and salary workers:!!Employee of private company workers","Margin of Error!!Total:!!Worked from home:!!Private for-profit wage and salary workers:!!Employee of private company workers","Estimate!!Total:!!Worked from home:!!Private for-profit wage and salary workers:!!Self-employed in own incorporated business workers","Margin of Error!!Total:!!Worked from home:!!Private for-profit wage and salary workers:!!Self-employed in own incorporated business workers","Estimate!!Total:!!Worked from home:!!Private not-for-profit wage and salary workers","Margin of Error!!Total:!!Worked from home:!!Private not-for-profit wage and salary workers","Estimate!!Total:!!Worked from home:!!Local government workers","Margin of Error!!Total:!!Worked from home:!!Local government workers","Estimate!!Total:!!Worked from home:!!State government workers","Margin of Error!!Total:!!Worked from home:!!State government workers","Estimate!!Total:!!Worked from home:!!Federal government workers","Margin of Error!!Total:!!Worked from home:!!Federal government workers","Estimate!!Total:!!Worked from home:!!Self-employed in own not incorporated business workers","Margin of Error!!Total:!!Worked from home:!!Self-employed in own not incorporated business workers","Estimate!!Total:!!Worked from home:!!Unpaid family workers","Margin of Error!!Total:!!Worked from home:!!Unpaid family workers",
"0400000US01","Alabama","2137108","18964","1517640","17667","1448038","18082","69602","4826","144335","7372","143244","7512","118819","6871","95604","6576","115258","5939","2208","946","1718315","18958","1226499","18123","1173558","17913","52941","4126","117321","6806","122733","6806","98219","6492","69895","5598","81915","5229","1733","967","163820","8388","116026","7392","110291","7235","5735","1492","12191","1794","11973","2123","7629","1947","5900","1708","9902","2012","199","207","4599","1341","2598","1016","2598","1016","0","210","428","457","459","357","803","640","130","214","181","215","0","210","19618","2823","11060","2225","10374","2285","686","400","2166","821","666","498","2840","1026","1383","394","1442","721","61","85","21989","2940","15508","2608","14730","2557","778","411","1226","638","899","414","1513","823","1000","597","1768","734","75","95","208767","9741","145949","8027","136487","7415","9462","1851","11003","2109","6514","2158","7815","1585","17296","2793","20050","2606","140","158",
"0400000US02","Alaska","349802","6561","191746","5872","180506","5433","11240","2123","30641","2600","30249","2948","30547","3073","46495","3571","19188","2873","936","480","228380","6927","126574","5391","119509","5225","7065","1634","18709","2145","20706","2890","18006","2642","34334","3300","9778","1584","273","232","38060","4663","22033","3387","21061","3386","972","472","3097","1034","3127","1082","2097","835","4941","1422","2348","1115","417","430","3637","1531","2104","1156","2104","1156","0","210","196","226","291","355","137","133","377","430","532","703","0","210","24767","2717","13859","2105","13143","1922","716","797","2954","891","2299","621","1754","571","2803","795","1044","652","54","75","19496","2184","11867","1793","11112","1655","755","652","2575","731","2231","575","1106","473","732","288","985","466","0","210","35462","3281","15309","2225","13577","2127","1732","686","3110","857","1595","608","7447","1642","3308","1007","4501","1062","192","199",
"0400000US04","Arizona","3258340","17957","2338370","19322","2211514","19443","126856","5578","234309","10535","228961","8448","139857","7191","119582","6367","190750","7919","6511","1750","2141225","23545","1519201","20200","1443682","19607","75519","4397","161433","8556","173682","7738","84301","5767","89412","5200","110676","6428","2520","854","290126","11801","208307","9865","196904","9597","11403","2196","17742","2837","23686","3103","9748","2058","10750","2052","18725","2613","1168","539","30122","4355","22791","4092","22230","3944","561","400","1825","973","1194","532","1722","686","571","468","1863","859","156","210","51281","4683","36517","4062","34734","3984","1783","784","6060","1705","2621","860","2765","803","1042","587","1927","848","349","567","65127","4311","45755","4005","43954","4041","1801","740","4595","1154","3149","1039","4631","1227","2090","823","4827","1362","80","128","680459","14376","505799","13419","470010","13123","35789","3824","42654","3730","24629","2838","36690","3467","15717","2417","52732","3944","2238","1206",
"0400000US05","Arkansas","1310892","11767","908872","12457","859593","12660","49279","3985","102004","5785","81127","5390","89412","5654","38929","3676","88262","6141","2286","940","1036290","13129","719332","11871","682996","12083","36336","3561","81577","5650","67185","4576","75556","5254","33500","3502","58276","4558","864","536","115437","7143","79919","6996","74902","6839","5017","1556","7901","1602","11124","2177","5565","1334","1296","509","8705","2203","927","693","2366","1020","900","536","865","531","35","56","311","338","228","271","678","638","120","201","129","174","0","210","17434","2469","11635","2113","11311","2097","324","214","997","496","231","161","1421","646","307","291","2843","1020","0","210","11980","2091","8515","1841","8236","1834","279","225","1059","605","400","382","770","511","46","85","1132","503","58","99","127385","6474","88571","5441","81283","5196","7288","1984","10159","2009","1959","954","5422","1260","3660","1168","17177","3126","437","271",
"0400000US06","California","17824906","50679","12420631","46522","11742727","49216","677904","16438","1352821","20331","1496763","20632","732925","16151","514809","14907","1276743","19910","30214","3043","11352882","52280","8009858","45505","7601498","46256","408360","11699","838584","16637","1039838","19370","408651","10439","334485","13103","706240","16300","15226","2257","1496848","28161","1056477","24666","1001939","23976","54538","4654","106261","6229","116909","6333","44703","4152","40583","3381","126333","6744","5582","1344","368928","10821","263965","9004","257748","9175","6217","1217","32821","2997","22875","2697","13762","2960","11974","2030","23352","2743","179","214","378703","12605","235646","9772","222596","9317","13050","2330","40276","6641","21530","2592","22564","3240","30046","4478","27630","3241","1011","469","415475","13833","290352","11372","278019","11071","12333","1905","32033","3549","29176","2774","20898","2638","12678","1655","29169","3046","1169","616","3812070","37862","2564333","31802","2380927","31941","183406","8226","302846","9352","266435","9898","222347","7884","85043","5883","364019","10210","7047","1310",
"0400000US08","Colorado","2990630","16725","2093816","18748","1940699","18661","153117","7676","248407","7749","218999","7549","110424","5021","124464","5493","189447","7494","5073","1270","1906171","20217","1341935","18030","1254754","17463","87181","5710","156091","6076","165432","6399","61961","3809","78374","4727","99357","5390","3021","1056","211286","9676","142266","7926","129591","7783","12675","2292","18672","2820","18841","2814","6380","1601","8014","1570","16682","2882","431","304","38695","4303","29135","3675","28215","3523","920","579","2502","890","1523","701","3202","918","1163","706","1170","741","0","210","67697","4404","41581","3725","37352","3336","4229","1497","5243","1262","4381","1230","3510","1110","8310","961","4630","1148","42","75","56121","4420","40748","3974","38329","4016","2419","992","4044","890","2237","705","3453","888","2034","730","3514","1113","91","108","710660","13946","498151","11694","452458","10822","45693","4309","61855","4372","26585","2831","31918","3155","26569","3125","64094","4674","1488","778",
"0400000US09","Connecticut","1729712","13707","1204465","14309","1142555","13677","61910","3283","178337","7964","127505","7239","73351","5902","36972","3368","107111","5478","1971","910","1153579","15614","788475","13570","749521","13682","38954","2989","118416","5571","105777","6787","49914","4297","24299","2658","65866","4537","832","471","128258","8041","93127","6972","89056","6861","4071","1225","13196","2219","9000","1523","3781","1269","1902","1078","7170","1687","82","97","30379","3069","22612","3056","22344","3077","268","226","3480","1071","999","476","1341","1005","779","471","1168","638","0","210","44278","4008","28164","3257","26202","3077","1962","969","7832","1785","2189","786","1908","1021","1845","645","2169","913","171","205","26863","2838","18603","2755","17783","2697","820","470","3907","1099","983","519","878","409","549","415","1943","804","0","210","346355","9346","253484","8424","237649","8175","15835","2274","31506","3075","8557","1313","15529","2242","7598","1351","28795","3034","886","694",
"0400000US10","Delaware","454678","7901","320573","8679","305235","8447","15338","2206","41922","4096","21782","3316","34749","3795","15185","2126","19410","2801","1057","709","322371","8200","225304","8739","215082","8566","10222","1875","30681","3360","17830","3088","27411","3300","10672","2122","9965","1769","508","410","27769","3522","20745","2972","19568","2929","1177","682","1743","790","1557","761","1451","762","812","434","1367","923","94","163","6709","2302","4305","1655","4305","1655","0","210","873","553","486","579","475","483","0","210","570","543","0","210","5857","1234","4167","1134","3761","1087","406","292","840","460","0","210","145","158","360","315","345","400","0","210","7345","1794","5425","1472","5022","1461","403","473","635","591","44","73","486","373","57","96","698","568","0","210","84627","5141","60627","4324","57497","4247","3130","979","7150","1315","1865","842","4781","1280","3284","953","6465","1633","455","470",
"0400000US11","District of Columbia","606015","12337","284621","9475","269238","9392","15383","2744","100852","5220","33590","3207","14573","2604","148044","7499","23623","3218","712","430","271920","10098","122337","6657","115900","6531","6437","1735","39466","3637","18373","2509","7828","2243","73904","5587","9692","1887","320","301","33896","3532","17832","2653","16553","2608","1279","542","2734","816","2550","1133","976","754","8152","1732","1652","800","0","210","80596","5453","42540","3831","41407","3809","1133","669","12162","2271","3885","1071","2443","1041","16898","2342","2668","994","0","210","24852","2866","11771","1890","10760","1786","1011","642","5042","1253","829","477","465","321","5978","1403","712","473","55","94","23780","2786","12317","2420","11982","2444","335","264","4566","1069","944","454","634","372","4380","925","939","605","0","210","170971","6761","77824","4455","72636","4453","5188","1257","36882","3515","7009","1621","2227","735","38732","3135","7960","1737","337","286",
